Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
27-09-2024,06:14,26-09-2024,META PLATFORMS INC CLASS A,US30303M1027,Dividendo,,USD,"0,50",USD,"2,01",
26-09-2024,07:23,25-09-2024,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,Dividendo,,USD,"1,51",USD,"1,51",
10-09-2024,16:45,10-09-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,21 EUR",,,,EUR,"218,67",
10-09-2024,16:45,10-09-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1,21",EUR,"217,46",
10-09-2024,07:18,09-09-2024,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,Dividendo,,EUR,"1,50",EUR,"218,67",
10-09-2024,07:18,09-09-2024,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,Retención del dividendo,,EUR,"-0,29",EUR,"217,17",
19-08-2024,19:00,19-08-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,38 EUR",,,,EUR,"217,46",
19-08-2024,19:00,19-08-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-0,38",EUR,"217,08",
17-08-2024,07:10,16-08-2024,,,Ingreso Cambio de Divisa,,EUR,"0,38",EUR,"217,46",
17-08-2024,07:10,16-08-2024,,,Retirada Cambio de Divisa,"1,1054",USD,"-0,42",USD,"0,00",
16-08-2024,07:50,15-08-2024,APPLE INC,US0378331005,Retención del dividendo,,USD,"-0,08",USD,"0,42",
16-08-2024,07:50,15-08-2024,APPLE INC,US0378331005,Dividendo,,USD,"0,50",USD,"0,50",
06-07-2024,07:01,30-06-2024,,,Flatex Interest Income,,EUR,"0,00",EUR,"217,08",
28-06-2024,20:32,28-06-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,74 EUR",,,,EUR,"217,08",
